LoB,회사명,연,월,기준일,위험지표,자산총계,매출액
ICE3,명신산업,2022,9,2022-09-30,3,2.4488E+11,1.26648E+11
ICE3,카카오,2017,12,2017-12-31,1,4.95688E+12,0
ICE3,카카오,2018,12,2018-12-31,0,6.20284E+12,0
ICE3,카카오,2019,12,2019-12-31,2,6.48436E+12,0
ICE3,카카오,2020,12,2020-12-31,3,7.34551E+12,0
ICE3,카카오,2021,12,2021-12-31,1,1.00247E+13,0
ICE3,카카오,2022,9,2022-09-30,1,1.20217E+13,0
ICE3,퍼스텍,2017,12,2017-12-31,1,1.69953E+11,1.40055E+11
ICE3,퍼스텍,2018,12,2018-12-31,5,1.60686E+11,1.31578E+11
ICE3,퍼스텍,2019,12,2019-12-31,5,1.82111E+11,1.26314E+11
ICE3,퍼스텍,2020,12,2020-12-31,2,1.80653E+11,1.32075E+11
ICE3,퍼스텍,2021,12,2021-12-31,2,1.85613E+11,1.36697E+11
ICE3,퍼스텍,2022,9,2022-09-30,6,1.94887E+11,1.05033E+11
IGH,SK가스,2017,12,2017-12-31,0,2.80972E+12,4.15183E+12
IGH,SK가스,2018,12,2018-12-31,3,3.19114E+12,4.80864E+12
IGH,SK가스,2019,12,2019-12-31,1,3.60799E+12,3.97339E+12
IGH,SK가스,2020,12,2020-12-31,0,4.12487E+12,3.63178E+12
IGH,SK가스,2021,12,2021-12-31,3,4.67758E+12,4.99828E+12
IGH,SK가스,2022,9,2022-09-30,2,5.12096E+12,5.16903E+12
IGH,신세계건설,2017,12,2017-12-31,3,6.78556E+11,1.06443E+12
IGH,신세계건설,2018,12,2018-12-31,3,7.57077E+11,1.08427E+12
IGH,신세계건설,2019,12,2019-12-31,1,7.77742E+11,1.01615E+12
IGH,신세계건설,2020,12,2020-12-31,3,7.65614E+11,9.56756E+11
IGH,신세계건설,2021,12,2021-12-31,1,8.28998E+11,1.25675E+12
IGH,신세계건설,2022,9,2022-09-30,3,7.94809E+11,9.94935E+11
IGH,일동제약,2017,12,2017-12-31,0,5.63407E+11,0
IGH,일동제약,2018,12,2018-12-31,0,5.62909E+11,0
IGH,일동제약,2019,12,2019-12-31,2,6.10339E+11,0
IGH,일동제약,2020,12,2020-12-31,2,6.02873E+11,0
